time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-11-10T16:56:21.300Z,37.8872,-122.2032,8.6,0.8,Md,,68.4,0.01796631,0.05,nc,nc72104936,2013-11-14T17:55:10.922Z,"2km WNW of Orinda, California",earthquake
2013-11-09T02:41:24.400Z,37.8953,-122.228,6.8,1.2,Md,,64.8,0.00898315,0.05,nc,nc72103826,2013-11-16T03:16:03.164Z,"4km NE of Berkeley, California",earthquake
2013-11-08T21:46:28.200Z,37.9193,-122.2982,0,1.2,Md,,46.8,0.00898315,0.14,nc,nc72103636,2013-11-19T02:38:54.883Z,"9km ESE of Quarry near Richmond, CA",quarry
2013-11-07T11:27:31.300Z,37.8928,-122.2263,7.3,0.7,Md,,61.2,0.00898315,0.04,nc,nc72102731,2013-11-14T22:01:04.780Z,"4km ENE of Berkeley, California",earthquake
2013-11-06T07:22:25.700Z,37.8907,-122.2312,6.7,1.8,Md,,46.8,0.00898315,0.08,nc,nc72101941,2013-11-15T06:01:03.550Z,"4km ENE of Berkeley, California",earthquake
2013-11-06T07:15:02.300Z,37.8935,-122.2297,6.7,0.8,Md,,61.2,0.00898315,0.03,nc,nc72101936,2013-11-14T18:33:05.389Z,"4km ENE of Berkeley, California",earthquake
2013-11-02T07:45:56.000Z,37.8933,-122.227,6.9,0.7,Md,,75.6,0.00898315,0.04,nc,nc72100031,2013-11-08T21:00:09.162Z,"4km ENE of Berkeley, California",earthquake
2013-10-31T20:44:08.100Z,37.8857,-122.2223,6.8,0.7,Md,,61.2,0,0.07,nc,nc72099201,2013-11-09T01:24:00.304Z,"3km WNW of Orinda, California",earthquake
2013-10-30T17:45:58.900Z,37.882,-122.2097,6,0.7,Md,,115.2,0.00898315,0.04,nc,nc72098326,2013-11-08T00:07:10.669Z,"2km WNW of Orinda, California",earthquake
2013-10-28T05:34:08.800Z,37.9345,-122.3072,9.2,0.7,Md,,68.4,0.00898315,0.11,nc,nc72096961,2013-11-06T03:29:10.385Z,"1km SSE of East Richmond Heights, California",earthquake
2013-10-24T04:47:15.500Z,37.8898,-122.2283,6.9,1.6,Md,,57.6,0.00898315,0.07,nc,nc72094286,2013-11-05T01:46:10.650Z,"4km ENE of Berkeley, California",earthquake
2013-10-20T11:30:16.700Z,37.8872,-122.208,9,1,Md,,57.6,0.00898315,0.08,nc,nc72091386,2013-10-31T01:22:10.770Z,"2km WNW of Orinda, California",earthquake
2013-10-19T00:09:15.400Z,37.8752,-122.2005,8.7,0.7,Md,,100.8,0.01796631,0.1,nc,nc72090501,2013-10-22T16:21:55.679Z,"1km W of Orinda, California",earthquake
2013-10-16T13:16:53.400Z,37.798,-122.1997,9.5,1,Md,,144,0.02694946,0.04,nc,nc72088751,2013-10-16T15:51:03.907Z,"4km SE of Piedmont, California",earthquake
2013-10-16T10:22:06.800Z,37.89,-122.222,7.5,0.9,Md,,68.4,0.00898315,0.07,nc,nc72088676,2013-10-26T01:16:38.814Z,"3km WNW of Orinda, California",earthquake
2013-10-16T06:54:40.600Z,37.881,-122.22,6.8,0.6,Md,,82.8,0,0.09,nc,nc72088606,2013-10-26T00:19:57.108Z,"3km W of Orinda, California",earthquake
